league,season,club
EPL,1718,Manchester City
EPL,1819,Manchester City
EPL,1920,Liverpool
EPL,2021,Manchester City
EPL,2122,Manchester City
EPL,2223,Manchester City
EPL,2324,Manchester City
EPL,2425,Liverpool
La Liga,1718,Barcelona
La Liga,1819,Barcelona
La Liga,1920,Real Madrid
La Liga,2021,Atlético Madrid
La Liga,2122,Real Madrid
La Liga,2223,Barcelona
La Liga,2324,Real Madrid
La Liga,2425,Barcelona
Serie A,1718,Juventus
Serie A,1819,Juventus
Serie A,1920,Juventus
Serie A,2021,Inter Milan
Serie A,2122,AC Milan
Serie A,2223,Napoli
Serie A,2324,Inter Milan
Serie A,2425,Napoli
Bundesliga,1718,Bayern Munich
Bundesliga,1819,Bayern Munich
Bundesliga,1920,Bayern Munich
Bundesliga,2021,Bayern Munich
Bundesliga,2122,Bayern Munich
Bundesliga,2223,Bayern Munich
Bundesliga,2324,Bayer Leverkusen
Bundesliga,2425,Bayern Munich
Ligue 1,1718,Paris Saint-Germain
Ligue 1,1819,Paris Saint-Germain
Ligue 1,1920,Paris Saint-Germain
Ligue 1,2021,Lille
Ligue 1,2122,Paris Saint-Germain
Ligue 1,2223,Paris Saint-Germain
Ligue 1,2324,Paris Saint-Germain
Ligue 1,2425,Paris Saint-Germain
